Time                             R       Lat       Lon
2022-01-12/01:32:10          10.58     2.585     307.5
2022-01-12/01:32:20          10.58     2.590     307.6
2022-01-12/01:32:30          10.58     2.594     307.7
2022-01-12/01:32:40          10.58     2.598     307.8
2022-01-12/01:32:50          10.58     2.602     307.9
2022-01-12/01:33:00          10.57     2.607     308.0
2022-01-12/01:33:10          10.57     2.611     308.1
2022-01-12/01:33:20          10.57     2.615     308.2
2022-01-12/01:33:30          10.57     2.619     308.3
2022-01-12/01:33:40          10.56     2.624     308.4
2022-01-12/01:33:50          10.56     2.628     308.5
2022-01-12/01:34:00          10.56     2.632     308.6
2022-01-12/01:34:10          10.56     2.636     308.7
2022-01-12/01:34:20          10.55     2.641     308.8
2022-01-12/01:34:30          10.55     2.645     309.0
2022-01-12/01:34:40          10.55     2.649     309.1
2022-01-12/01:34:50          10.55     2.653     309.2
2022-01-12/01:35:00          10.55     2.658     309.3
2022-01-12/01:35:10          10.54     2.662     309.4
2022-01-12/01:35:20          10.54     2.666     309.5
2022-01-12/01:35:30          10.54     2.670     309.6
2022-01-12/01:35:40          10.54     2.675     309.7
2022-01-12/01:35:50          10.53     2.679     309.8
2022-01-12/01:36:00          10.53     2.683     309.9
2022-01-12/01:36:10          10.53     2.688     310.0
2022-01-12/01:36:20          10.53     2.692     310.1
2022-01-12/01:36:30          10.53     2.696     310.2
2022-01-12/01:36:40          10.52     2.700     310.3
