Time                           Lat
2022-01-12/10:16:00         -62.70
2022-01-12/10:17:00         -62.67
2022-01-12/10:18:00         -62.64
2022-01-12/10:19:00         -62.61
2022-01-12/10:20:00         -62.58
2022-01-12/10:21:00         -62.55
2022-01-12/10:22:00         -62.52
2022-01-12/10:23:00         -62.49
2022-01-12/10:24:00         -62.46
2022-01-12/10:25:00         -62.43
2022-01-12/10:26:00         -62.39
2022-01-12/10:27:00         -62.36
2022-01-12/10:28:00         -62.33
2022-01-12/10:29:00         -62.30
2022-01-12/10:30:00         -62.27
2022-01-12/10:31:00         -62.25
2022-01-12/10:32:00         -62.22
2022-01-12/10:33:00         -62.19
2022-01-12/10:34:00         -62.16
2022-01-12/10:35:00         -62.13
2022-01-12/10:36:00         -62.10
2022-01-12/10:37:00         -62.07
2022-01-12/10:38:00         -62.04
2022-01-12/10:39:00         -62.01
2022-01-12/10:40:00         -61.98
2022-01-12/10:41:00         -61.95
2022-01-12/10:42:00         -61.92
2022-01-12/10:43:00         -61.89
2022-01-12/10:44:00         -61.87
2022-01-12/10:45:00         -61.84
2022-01-12/10:46:00         -61.81
2022-01-12/10:47:00         -61.78
2022-01-12/10:48:00         -61.75
2022-01-12/10:49:00         -61.72
2022-01-12/10:50:00         -61.69
2022-01-12/10:51:00         -61.66
2022-01-12/10:52:00         -61.64
2022-01-12/10:53:00         -61.61
2022-01-12/10:54:00         -61.58
2022-01-12/10:55:00         -61.55
2022-01-12/10:56:00         -61.52
2022-01-12/10:57:00         -61.49
2022-01-12/10:58:00         -61.47
2022-01-12/10:59:00         -61.44
2022-01-12/11:00:00         -61.41
2022-01-12/11:01:00         -61.38
2022-01-12/11:02:00         -61.35
2022-01-12/11:03:00         -61.33
2022-01-12/11:04:00         -61.30
2022-01-12/11:05:00         -61.27
2022-01-12/11:06:00         -61.24
2022-01-12/11:07:00         -61.21
2022-01-12/11:08:00         -61.19
2022-01-12/11:09:00         -61.16
2022-01-12/11:10:00         -61.13
2022-01-12/11:11:00         -61.10
2022-01-12/11:12:00         -61.07
