                    time         Energy    pitch_angle            Daa
2022-01-12/04:02:45      5.951e-05     58.00 7.096e-09
2022-01-12/04:02:45      5.951e-05     60.00 5.525e-09
2022-01-12/04:02:45      5.951e-05     62.00 4.193e-09
2022-01-12/04:02:45      5.951e-05     64.00 5.978e-10
2022-01-12/04:02:45      5.951e-05     66.00     0.000
2022-01-12/04:02:45      5.951e-05     68.00     0.000
2022-01-12/04:02:45      5.951e-05     70.00     0.000
2022-01-12/04:02:45      5.951e-05     72.00     0.000
2022-01-12/04:02:45      5.951e-05     74.00     0.000
2022-01-12/04:02:45      5.951e-05     76.00     0.000
2022-01-12/04:02:45      5.951e-05     78.00     0.000
2022-01-12/04:02:45      5.951e-05     80.00     0.000
2022-01-12/04:02:45      5.951e-05     82.00     0.000
2022-01-12/04:02:45      5.951e-05     84.00     0.000
2022-01-12/04:02:45      5.951e-05     85.00     0.000
2022-01-12/04:02:45      5.951e-05     86.00     0.000
